scheduler,trials,frames,users_per_macro,include_mobility,include_orientation,include_nlos,nlos_profile,resource_control,mean_delta_used,std_delta_used,delta_switch_rate,mean_center_pool_size,mean_edge_pool_size,frac_delta_0_5,frac_delta_0_6667,frac_delta_0_8,mean_sinr_db,median_sinr_db,avg_rate_bpshz,p5_rate_bpshz,coverage_continuity_10db,coverage_continuity_20db,outage_probability_10db,outage_probability_20db,avg_outage_duration_frames,p95_outage_duration_frames,link_opportunity_mean_sinr_db,link_opportunity_median_sinr_db,link_opportunity_avg_rate_bpshz,link_opportunity_continuity_10db,link_opportunity_continuity_20db,link_opportunity_outage_probability_10db,link_opportunity_outage_probability_20db,link_opportunity_avg_outage_duration_20db,scheduled_link_continuity_10db,scheduled_link_continuity_20db,service_avg_rate_bpshz_all_users,beam_switching_rate,fairness_over_time,mean_served_fraction,mean_user_throughput_bpshz,p5_user_throughput_bpshz,worst_user_throughput_bpshz,avg_time_between_services_frames,mean_service_gap_frames,p95_service_gap_frames,mean_longest_service_gap_frames,p95_longest_service_gap_frames,starvation_probability_gap10,edge_served_frame_ratio,center_served_frame_ratio,edge_coverage_continuity_10db,edge_coverage_continuity_20db,edge_outage_probability_10db,edge_outage_probability_20db,center_coverage_continuity_10db,center_coverage_continuity_20db,edge_frame_fraction,time_s,experiment,case,seed,wall_time_s
rr1,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,27.121682609289074,-300.0,88.46567510005714,0.0,0.02262645502645502,0.010223280423280419,0.977373544973545,0.9897767195767195,43.019915371171,75.0,26.560718042261477,-300.0,74.53706769355693,0.1058952380952381,0.05204021164021164,0.894104761904762,0.9479597883597883,20.815642717724696,0.16735832180857393,0.07789006450803007,14.72106279453353,0.014943157443157445,0.027085050131440646,0.16640423280423283,14.72106279453353,0.0,0.0,6.506049962996084,4.919458686434062,12.0,13.378571428571428,28.0,0.6446031746031746,0.1655542740025445,0.16534236741378072,0.02309242732415204,0.013416593815741005,0.9769075726758479,0.986583406184259,0.023004883546403686,0.008378208073485709,0.45396825396825397,885.3828313350677,main,combined_mobility_orientation_nlos,1,885.934472322464
max_sinr,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,29.201766892035476,-7.620006232308478,184.50722735295884,0.0,0.05871534391534391,0.028223280423280424,0.9412846560846561,0.9717767195767196,48.31784699568557,75.0,29.73955922585646,-300.0,114.32583391161126,0.14756613756613757,0.07100740740740741,0.8524338624338624,0.9289925925925926,31.812509059283954,0.36177576861328054,0.18223360049057788,30.702783614505275,0.014943157443157445,0.06326987179141445,0.16640423280423278,30.702783614505268,0.0,0.0,17.095081158710325,15.796663190823775,63.0,43.14031746031746,75.0,0.9875396825396825,0.20977028940878578,0.13261443886045854,0.09591173138710339,0.06082337311256725,0.9040882686128966,0.9391766268874328,0.03135720339421183,0.004285294973030347,0.45396825396825397,894.5032706260681,main,combined_mobility_orientation_nlos,1,895.0323600769043
proportional_fair,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,29.175659146968087,-9.312191685456664,175.44015078364265,0.0,0.0496031746031746,0.019889947089947086,0.9503968253968254,0.9801100529100529,34.490355254338276,75.0,26.59431871094855,-300.0,73.84166248041255,0.1097957671957672,0.056656084656084654,0.8902042328042328,0.9433439153439154,23.675041164285336,0.37531349468323294,0.1703579501966501,29.19398369421098,0.014943157443157445,0.05363411121664357,0.16640423280423283,29.193983694210978,0.0,0.0,11.98363283307267,10.61569145352128,43.0,35.06896825396825,75.0,0.9788888888888889,0.1755562420791621,0.1605516696697711,0.06469497075850213,0.029899172653751176,0.9353050292414978,0.9701008273462488,0.039817513285883246,0.013529535202622303,0.45396825396825397,905.7722284793854,main,combined_mobility_orientation_nlos,1,906.3009464740753
omn_pf,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,29.062084468870275,-7.475980599539552,182.6456499975039,0.0,0.05658095238095237,0.025501587301587296,0.9434190476190476,0.9744984126984128,32.75945359467824,75.0,28.700776147428297,-300.0,97.08084788895425,0.13025396825396826,0.06427089947089946,0.8697460317460317,0.9357291005291005,22.707205587797237,0.39968415652556205,0.20031595703748686,30.39300926286506,0.014943157443157445,0.06002346080160725,0.16640423280423283,30.393009262865064,0.0,0.0,14.211982578255133,11.656698086683733,47.0,36.91984126984127,75.0,0.9814285714285714,0.20389026301022053,0.13844029512798586,0.08921523773496812,0.04953911962170933,0.9107847622650319,0.9504608803782907,0.033673993183403014,0.008839925134794015,0.45396825396825397,936.4167859554291,main,combined_mobility_orientation_nlos,1,936.9288709163666
rr1,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,27.078219706096366,-300.0,88.58918204636971,0.0,0.022961904761904756,0.010516402116402111,0.9770380952380953,0.9894835978835979,42.518279374317935,75.0,26.386000104356086,-300.0,74.16855783302626,0.10708465608465606,0.05287301587301588,0.8929153439153439,0.9471269841269842,20.68727608921761,0.1678660329823972,0.0791929845056547,14.742552324842533,0.014907764907764907,0.02731867904919052,0.16641481481481482,14.742552324842533,0.0,0.0,6.479987204663519,4.921762927048709,12.0,13.281825396825397,28.0,0.6392857142857142,0.1644055002245444,0.16625400430744458,0.023926278971316564,0.014102930064222611,0.9760737210286834,0.9858970699357774,0.023217923026624062,0.008122545368175721,0.42634920634920637,886.3755626678467,main,combined_mobility_orientation_nlos,2,886.4397301673889
max_sinr,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,29.036811955554327,-7.117456358733083,188.00063118988922,0.0,0.05966455026455026,0.02883597883597883,0.9403354497354497,0.9711640211640211,48.31280269530428,75.0,29.639007762234577,-300.0,113.100122709039,0.14757671957671958,0.07043280423280424,0.8524232804232804,0.9295671957671958,31.852962506345637,0.36361123329288547,0.18241360578027208,31.286090224533712,0.014907764907764907,0.06484129063303157,0.16641481481481482,31.286090224533716,0.0,0.0,17.315705083318257,15.740278943372097,64.0,43.03507936507936,75.0,0.9858730158730159,0.2090367881184542,0.13237035530522842,0.09645345752255241,0.06172006919664235,0.9035465424774476,0.9382799308033577,0.03234405207939381,0.004264935721399335,0.42634920634920637,903.0963983535767,main,combined_mobility_orientation_nlos,2,903.1581008434296
proportional_fair,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,28.979561726460545,-8.415183347846497,176.3549696416097,0.0,0.04999576719576719,0.020366137566137563,0.9500042328042329,0.9796338624338624,34.29607676064165,75.0,26.622931057170884,-300.0,74.36446774855139,0.11122328042328043,0.05810793650793651,0.8887767195767196,0.9418920634920634,23.32149033170885,0.3775709774613304,0.1731601066577222,29.348079614580765,0.014907764907764907,0.05456286861994023,0.16641481481481482,29.348079614580765,0.0,0.0,12.09504555645332,10.542955418445601,43.0,35.105873015873016,75.0,0.9806349206349206,0.17526805907431114,0.15946385140847638,0.06562504829428416,0.030805294589826334,0.9343749517057158,0.9691947054101737,0.039535624867867554,0.013319692337713358,0.42634920634920637,905.3707928657532,main,combined_mobility_orientation_nlos,2,905.4333012104034
omn_pf_a,300.0,75.0,42.0,1.0,1.0,1.0,stress,adaptive,0.7931792592592593,0.02937532288355368,0.013333333333333334,160.44222222222223,30.869644444444443,0.0,0.05115555555555556,0.9488444444444445,25.28376379792437,-7.586437553207382,184.2103763770205,0.0,0.04144444444444445,0.01384550264550264,0.9585555555555556,0.9861544973544973,43.65150592533608,75.0,20.839365824107272,-300.0,52.32838664888233,0.06743915343915344,0.030524867724867715,0.9325608465608466,0.9694751322751323,37.42764931775472,0.3230814251362008,0.10864868041794565,30.653386355597064,0.014943157443157445,0.04567408594340875,0.16640423280423283,30.653386355597064,0.0,0.0,13.826125387395479,10.9868756886428,46.0,36.002539682539684,75.0,0.9670634920634921,0.19088645184751293,0.1603170645914422,0.0846351162695314,0.04347816764437627,0.9153648837304686,0.9565218323556237,0.028742324294145128,0.006897012130122289,0.24253968253968253,1285.9979996681213,main,combined_mobility_orientation_nlos,1,1286.0583448410034
omn_pf,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,28.955114602962094,-6.975503488722984,184.77863981874364,0.0,0.05717671957671956,0.02606243386243386,0.9428232804232805,0.9739375661375661,33.05099292562933,75.0,28.66665497991551,-300.0,96.79088108394969,0.13115978835978837,0.06436296296296297,0.8688402116402116,0.935637037037037,22.727148879292617,0.4010349610511304,0.20222635807139164,30.749903127169585,0.014907764907764907,0.06122302266202989,0.1664148148148148,30.74990312716959,0.0,0.0,14.21979204533261,11.595636941737569,47.0,36.8815873015873,75.0,0.979047619047619,0.20326965300996588,0.13761955359768893,0.08935232542637768,0.05071391133068799,0.9106476745736223,0.949286088669312,0.03414933438839487,0.008441421480466319,0.42634920634920637,922.9343268871307,main,combined_mobility_orientation_nlos,2,922.9962935447693
rr1,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,26.81115152303399,-300.0,86.69256608976795,0.0,0.02239576719576719,0.010312169312169306,0.9776042328042328,0.9896878306878307,42.88586757153338,75.0,26.486873219293805,-300.0,73.94211334581634,0.10585925925925925,0.05262539682539682,0.8941407407407408,0.9473746031746032,20.673093797626194,0.16469179438280757,0.07795824919991803,14.426101688163259,0.014957099957099958,0.026884009617770214,0.16640529100529103,14.426101688163259,0.0,0.0,6.468263519826762,4.914971143347372,12.0,13.356031746031746,28.0,0.6409523809523809,0.16604752623429522,0.16545116140369936,0.023065340634218372,0.013727994454976772,0.9769346593657816,0.9862720055450233,0.022203399458894064,0.007983087198690045,0.47619047619047616,891.4594011306763,main,combined_mobility_orientation_nlos,3,891.5228610038757
max_sinr,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,29.335978816884353,-7.942900330647252,185.38749190429016,0.0,0.0584074074074074,0.02871534391534391,0.9415925925925926,0.9712846560846561,48.69821731748727,75.0,29.704193549376242,-300.0,113.16887234182323,0.14646455026455027,0.0707904761904762,0.8535354497354497,0.9292095238095238,31.884640522875817,0.3566258335343604,0.18026827070664683,30.849459539074434,0.014957099957099958,0.0632727023267333,0.16640529100529103,30.84945953907443,0.0,0.0,17.27790944287,15.934038593794247,64.0,43.30238095238095,75.0,0.9864285714285714,0.20889897563237378,0.13177746672933363,0.09403707620211856,0.06076017482627821,0.9059629237978815,0.9392398251737217,0.031245938560158126,0.0043117501204713695,0.47619047619047616,892.4889369010925,main,combined_mobility_orientation_nlos,3,892.5518245697021
omn_pf_a,300.0,75.0,42.0,1.0,1.0,1.0,stress,adaptive,0.7928948148148147,0.029947860828038856,0.013333333333333334,160.33555555555554,30.90591111111111,0.0,0.053288888888888886,0.9467111111111111,25.05810705464773,-7.288908578737684,185.3008778635509,0.0,0.041891005291005284,0.014156613756613753,0.9581089947089947,0.9858433862433863,43.84516189759036,75.0,20.735390033466622,-300.0,52.39960577874335,0.06897566137566137,0.03117989417989418,0.9310243386243386,0.9688201058201058,37.38861436680688,0.32477299151324346,0.1102606315402972,30.83681127468544,0.014907764907764907,0.04671367313468298,0.16641481481481482,30.836811274685445,0.0,0.0,13.761574403500967,10.945974487952645,45.0,36.05134920634921,75.0,0.9653174603174604,0.18848556891961152,0.15987024322961715,0.08524933512126547,0.04496417089318929,0.9147506648787346,0.9550358291068107,0.02893042371621142,0.006766978137657233,0.20412698412698413,1293.3948123455048,main,combined_mobility_orientation_nlos,2,1293.4545340538025
proportional_fair,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,29.122551446991555,-9.967306134860422,174.76139487055397,0.0,0.049463492063492064,0.020242328042328037,0.9505365079365079,0.9797576719576719,34.061915973806194,75.0,26.635912374686043,-300.0,74.10963711722513,0.11027195767195766,0.058011640211640216,0.8897280423280424,0.9419883597883598,23.303115183246074,0.3761337332855316,0.17440468328780848,29.081220769925103,0.014957099957099958,0.053602060758483436,0.16640529100529103,29.0812207699251,0.0,0.0,11.911117381605028,10.633159656606015,43.0,35.23134920634921,75.0,0.9792063492063492,0.17632846265503854,0.15832278883564552,0.06424588912405645,0.0302633330584222,0.9357541108759435,0.9697366669415778,0.039107497272646,0.013297903887425593,0.47619047619047616,894.4050898551941,main,combined_mobility_orientation_nlos,3,894.4666225910187
omn_pf,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,28.957876262664172,-7.816684384733772,181.97074586960673,0.0,0.05619153439153439,0.02589312169312169,0.9438084656084657,0.9741068783068783,32.72650028441411,75.0,28.787644298995538,-300.0,97.079708592468,0.1302042328042328,0.06491534391534391,0.8697957671957672,0.9350846560846561,22.48257174842255,0.39839908456557016,0.2031026655762208,30.280894920881764,0.014957099957099958,0.06019988277363802,0.16640529100529103,30.280894920881764,0.0,0.0,14.110871450087233,11.688161194118432,47.0,37.045476190476194,75.0,0.9798412698412698,0.20332690895676464,0.13678570138060375,0.08729881677166627,0.049904251577065996,0.9127011832283337,0.950095748422934,0.032752478137456464,0.008286703098827815,0.47619047619047616,935.0523953437805,main,combined_mobility_orientation_nlos,3,935.1155774593353
rr1,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,27.27101246120098,-300.0,89.44728767042263,0.0,0.023061375661375658,0.010535449735449731,0.9769386243386243,0.9894645502645503,42.37487537387837,75.0,26.858525032965925,-300.0,76.07384846010245,0.10801587301587301,0.05411746031746031,0.891984126984127,0.9458825396825397,20.241372282608694,0.16924034116910516,0.07956429500655103,14.88582707943318,0.015066495066495069,0.02732458672326885,0.16642010582010583,14.88582707943318,0.0,0.0,6.507186325624598,4.919979513956117,12.0,13.52936507936508,28.0,0.6516666666666666,0.16603680617446478,0.16485488552768227,0.02331011200608028,0.013669812069766661,0.9766898879939198,0.9863301879302333,0.023156280979928185,0.008504439275138742,0.48158730158730156,892.1636695861816,main,combined_mobility_orientation_nlos,4,892.2259387969971
omn_pf_a,300.0,75.0,42.0,1.0,1.0,1.0,stress,adaptive,0.7936533333333332,0.02838911841611932,0.013333333333333334,160.62,30.8092,0.0,0.0476,0.9524,25.325536329925,-7.681878648151606,184.9419932380374,0.0,0.04140529100529101,0.014108994708994703,0.958594708994709,0.9858910052910053,43.37975508683708,75.0,20.7797294270853,-300.0,52.396500679842646,0.06825291005291005,0.030949206349206348,0.93174708994709,0.9690507936507936,37.10656833745289,0.32397138098000705,0.11086854674072918,30.775326203874172,0.014957099957099958,0.04580263324903505,0.16640529100529103,30.77532620387418,0.0,0.0,13.60831177946734,11.040757403747776,46.0,36.205396825396825,75.0,0.9671428571428572,0.19040733964893197,0.15919380764751553,0.0849817666341461,0.04475192169490043,0.9150182333658539,0.9552480783050996,0.028604027907357752,0.006968833759495234,0.24412698412698414,1281.0525131225586,main,combined_mobility_orientation_nlos,3,1281.1123621463776
max_sinr,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,29.068290850702063,-7.60944108102363,185.56924396144998,0.0,0.05931216931216931,0.02888994708994709,0.9406878306878307,0.9711100529100529,47.89160839160839,75.0,30.072761951865537,-300.0,116.43281468748698,0.14883597883597882,0.07347936507936509,0.8511640211640212,0.926520634920635,31.305849542334094,0.36539596715368045,0.1858483905759381,30.88245321702154,0.015066495066495069,0.06405878598104606,0.16642010582010583,30.88245321702154,0.0,0.0,17.20032720126155,15.889081630594832,64.0,43.168730158730156,75.0,0.9861904761904762,0.2086575426932899,0.13212729871799248,0.09430560715187275,0.06120328763949856,0.9056943928481272,0.9387967123605014,0.03167215741078474,0.004324979169424756,0.48158730158730156,890.9663281440735,main,combined_mobility_orientation_nlos,4,891.0275280475616
proportional_fair,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,29.270362501666657,-9.547337609200655,177.56170386943498,0.0,0.05002645502645502,0.020767195767195764,0.949973544973545,0.9792328042328042,33.63654538184726,75.0,26.986964795006422,-300.0,76.08484405801218,0.11190476190476191,0.059557671957671955,0.888095238095238,0.9404423280423281,22.63442339038305,0.3803335151297137,0.18186258420525744,29.54983754754966,0.015066495066495069,0.05380896852411918,0.16642010582010583,29.549837547549664,0.0,0.0,11.696777399032229,10.616920049598361,43.0,35.06706349206349,74.0,0.9776190476190476,0.17572078766406965,0.15964764146105004,0.06377623897712927,0.03051516762684093,0.9362237610228707,0.9694848323731591,0.039815142025782034,0.014017237562983693,0.48158730158730156,902.2713558673859,main,combined_mobility_orientation_nlos,4,902.3343315124512
omn_pf,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,29.0372481828056,-7.526652682607086,183.9576321697846,0.0,0.05696613756613757,0.02641058201058201,0.9430338624338624,0.973589417989418,32.32868336905724,75.0,29.133805725707496,-300.0,100.17495679915737,0.1327132275132275,0.06724973544973545,0.8672867724867726,0.9327502645502646,21.994435572412417,0.4027108118248174,0.2113921452686535,30.614248612111655,0.015066495066495069,0.0605906434424158,0.16642010582010583,30.614248612111652,0.0,0.0,14.163513693802257,11.700105455463632,47.0,36.93674603174603,75.0,0.9800793650793651,0.20299842162113294,0.13731756543320192,0.08729074685167415,0.05032218004658584,0.9127092531483258,0.9496778199534142,0.033308406128100064,0.008756056618646096,0.48158730158730156,936.5728232860565,main,combined_mobility_orientation_nlos,4,936.6339883804321
rr1,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,27.060716592315206,-300.0,89.09746732365602,0.0,0.02298412698412698,0.010252910052910048,0.977015873015873,0.9897470899470899,43.030502392344495,75.0,26.558116896567128,-300.0,75.32529736408345,0.1075978835978836,0.052823280423280425,0.8924021164021164,0.9471767195767196,20.64827331657016,0.16921322661062083,0.07824050099749126,14.824592883211697,0.015035392535392534,0.027299979660032385,0.1663862433862434,14.824592883211698,0.0,0.0,6.499007440434477,4.927319126578557,12.0,13.476111111111111,28.0,0.6442857142857142,0.1654676754328591,0.16553890061249193,0.02336566223626269,0.013473977361757856,0.9766343377637373,0.9865260226382422,0.023052829344985946,0.008292189243065228,0.44476190476190475,881.0317730903625,main,combined_mobility_orientation_nlos,5,881.0946192741394
max_sinr,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,29.349705877125313,-7.243187951621043,188.10034211527616,0.0,0.05953968253968253,0.028326984126984124,0.9404603174603174,0.9716730158730159,48.25176037834997,75.0,29.744054819269202,-300.0,114.0427829549398,0.14774179894179895,0.07047195767195767,0.852258201058201,0.9295280423280423,31.813552569628047,0.3644785652473885,0.1795648959402503,31.29730930422799,0.015035392535392534,0.06399417686382743,0.16638624338624342,31.29730930422799,0.0,0.0,17.631159590347504,15.819844967467267,64.0,43.27293650793651,75.0,0.9846031746031746,0.20856417084173368,0.13476517742665584,0.09488318464537167,0.06070207670344577,0.9051168153546283,0.9392979232965543,0.03274881061365871,0.004268040739178422,0.44476190476190475,901.3172779083252,main,combined_mobility_orientation_nlos,5,901.379866361618
omn_pf_a,300.0,75.0,42.0,1.0,1.0,1.0,stress,adaptive,0.7936414814814814,0.028414287099722577,0.013333333333333334,160.61555555555555,30.81071111111111,0.0,0.04768888888888889,0.9523111111111111,25.272325725568084,-7.571164979090489,185.24459019820068,0.0,0.041871957671957664,0.014184126984126978,0.9581280423280424,0.985815873015873,43.28173202007062,75.0,20.96662552784371,-300.0,53.1134157597388,0.06926137566137566,0.03157883597883598,0.9307386243386243,0.9684211640211641,36.759238431876604,0.3300279720149188,0.11320782200730219,30.828424303386697,0.015066495066495069,0.04603998865199406,0.16642010582010583,30.8284243033867,0.0,0.0,13.608902557278128,11.057608894004689,46.0,36.102380952380955,75.0,0.9662698412698413,0.19102870928529944,0.16013853639427852,0.08418452162261522,0.04420496898854277,0.9158154783773848,0.9557950310114572,0.0285870325909259,0.006896045221309519,0.2812698412698413,1282.9238467216492,main,combined_mobility_orientation_nlos,4,1282.9838120937347
proportional_fair,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,29.080603830010205,-8.766910311969557,175.79241774970947,0.0,0.04988888888888888,0.01992486772486772,0.9501111111111111,0.9800751322751323,34.53542396897606,75.0,26.679168376202878,-300.0,74.46064349437596,0.11077142857142856,0.05743492063492063,0.8892285714285715,0.9425650793650794,23.50071236346367,0.3776544233821246,0.1717718739813993,29.249440005159332,0.015035392535392534,0.05402500059006236,0.1663862433862434,29.249440005159325,0.0,0.0,12.074421595876759,10.617780653161349,43.0,35.31650793650794,75.0,0.9782539682539683,0.17561393342708814,0.16175449662734404,0.06505432430510603,0.030424407564095847,0.934945675694894,0.9695755924359042,0.03981504408798687,0.013436769567461655,0.44476190476190475,907.2087059020996,main,combined_mobility_orientation_nlos,5,907.2708082199097
omn_pf,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,28.939478796058392,-7.131249336356099,183.57636014027597,0.0,0.056896296296296285,0.025466666666666665,0.9431037037037037,0.9745333333333334,32.93519776839997,75.0,28.803163882140872,-300.0,97.9963374358117,0.13148042328042328,0.06457037037037036,0.8685195767195767,0.9354296296296296,22.55686544693664,0.40216336057247487,0.20037915741650597,30.544580938260626,0.015035392535392534,0.060624598948860534,0.1663862433862434,30.54458093826063,0.0,0.0,14.316052938041958,11.619295554441134,48.0,37.061031746031745,75.0,0.9788095238095238,0.203010809137742,0.13994345621631982,0.08806772883866516,0.049648791404723516,0.9119322711613348,0.9503512085952764,0.034037819180400865,0.008454613172796843,0.44476190476190475,927.6361393928528,main,combined_mobility_orientation_nlos,5,927.7042498588562
